date,gender,gender_label,time_code,time_label,url,row_index,confidence,basis,analysis
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,49,63%,"本命 坐守1个及以上 贪狼 廉贞 红鸾 天喜 咸池 天姚 沐浴
本命 加会1个及以上 禄存 化禄",有创造力，可以拥有独特的创意，可通过从事艺术类的工作而发达。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,50,61%,本命 交友宫 加会2个及以上 左辅 右弼 天魁 天钺 化禄 化权 化科,得正直之友，助力大，并得下属拥护。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,51,61%,本命 加会2个及以上 化忌 地劫 地空 陀罗 擎羊,秀而不实福泽有损（富不全），或富贵只得其一，或富不很富，贵不很贵，或因富贵致祸，或人生有其他缺憾。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,52,61%,本命 交友宫 加会2个及以上 火星 铃星 地劫 地空 陀罗 擎羊,多小人、破耗、纠纷、是非，易遭背弃与损害。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,53,60%,本命 官禄宫 加会 台辅 封诰,有荣誉。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,54,60%,本命 财帛宫 加会 台辅 封诰,因荣誉或商誉而得财。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,55,60%,本命 加会 恩光 天贵,有殊荣，爵禄，受奖励，可带来实际利益，如帮助竞争得利，典试中奖等。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,56,60%,本命 财帛宫 加会 恩光 天贵,能受人提拔而得财。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,57,59%,本命 父母宫 坐守1个及以上 地劫 地空 天空,性格受双亲影响小，自己对双亲的教育有抗拒性，会孝养父母，与父母缘份不深，与父母分居少于住在一起。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,58,59%,本命 夫妻宫 坐守1个及以上 贪狼 破军 七杀,自身会倾向于选择比较有个性和较活跃型的人。
